コメント,No,上場馬名,性,生月日,毛色,父,母,母の父,販売者,販売者カナ,飼養者
"No.183
欠場
　生　毛
父：
母：
母父：
販売者：",183,欠場,,,,,,,,,
"No.184
パールシャドウの2021
牡　2/15生　黒鹿毛
父：キズナ
母：パールシャドウ
母父：クロフネ
販売者：社台ファーム（共有代表）",184,パールシャドウの2021,牡,2/15,黒鹿,キズナ,パールシャドウ,クロフネ,社台ファーム（共有代表）,シャダイファームキョウユウダイヒョウ,社台ファーム
"No.185
デュエットの2021
めす　3/24生　栗毛
父：ドレフォン
母：デュエット
母父：コンデュイット
販売者：(有)藤澤牧場",185,デュエットの2021,めす,3/24,栗,ドレフォン,デュエット,コンデュイット,(有)藤澤牧場,フジサワボクジョウ,エバグリーンセールスコンサインメント
"No.186
ラトーナの2021
牡　3/7生　鹿毛
父：アジアエクスプレス
母：ラトーナ
母父：Dansili
販売者：(有)ノーザンレーシング",186,ラトーナの2021,牡,3/7,鹿,アジアエクスプレス,ラトーナ,Dansili,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.187
デリケートアーチの2021
牡　3/13生　鹿毛
父：ジャスタウェイ
母：デリケートアーチ
母父：アフリート
販売者：(株)レイクヴィラファーム",187,デリケートアーチの2021,牡,3/13,鹿,ジャスタウェイ,デリケートアーチ,アフリート,(株)レイクヴィラファーム,レイクヴィラファーム,ノーザンファームYearling
"No.188
ラクアミの2021
めす　2/15生　黒鹿毛
父：モーリス
母：ラクアミ
母父：ダイワメジャー
販売者：(有)ノーザンレーシング",188,ラクアミの2021,めす,2/15,黒鹿,モーリス,ラクアミ,ダイワメジャー,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.189
コーンドリーの2021
めす　2/17生　黒鹿毛
父：ネオユニヴァース
母：コーンドリー
母父：Indian Charlie
販売者：社台ファーム",189,コーンドリーの2021,めす,2/17,黒鹿,ネオユニヴァース,コーンドリー,Indian Charlie,社台ファーム,シャダイファーム,社台ファーム
"No.190
アイスパステルの2021
牡　3/15生　栗毛
父：マジェスティックウォリアー
母：アイスパステル
母父：Shackleford
販売者：(有)ノーザンレーシング",190,アイスパステルの2021,牡,3/15,栗,マジェスティックウォリアー,アイスパステル,Shackleford,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.191
ハートシェイプトの2021
めす　2/19生　鹿毛
父：サトノダイヤモンド
母：ハートシェイプト
母父：Storm Cat
販売者：社台ファーム",191,ハートシェイプトの2021,めす,2/19,鹿,サトノダイヤモンド,ハートシェイプト,Storm Cat,社台ファーム,シャダイファーム,社台ファーム
"No.192
アマルティアの2021
牡　5/17生　鹿毛
父：サンダースノー
母：アマルティア
母父：アドマイヤムーン
販売者：(株)アースファーム",192,アマルティアの2021,牡,5/17,鹿,サンダースノー,アマルティア,アドマイヤムーン,(株)アースファーム,アースファーム,(株)アースファーム
"No.193
欠場
　生　毛
父：
母：
母父：
販売者：",193,欠場,,,,,,,,,
"No.194
スクラッタの2021
牡　2/9生　黒鹿毛
父：ロゴタイプ
母：スクラッタ
母父：キングカメハメハ
販売者：社台ファーム",194,スクラッタの2021,牡,2/9,黒鹿,ロゴタイプ,スクラッタ,キングカメハメハ,社台ファーム,シャダイファーム,(有)社台コーポレーション白老ファームYearling
"No.195
クラシックリディアの2021
牡　2/24生　鹿毛
父：ワールドエース
母：クラシックリディア
母父：ハービンジャー
販売者：ノーザンファーム",195,クラシックリディアの2021,牡,2/24,鹿,ワールドエース,クラシックリディア,ハービンジャー,ノーザンファーム,ノーザンファーム,ノーザンファームYearling
"No.196
欠場
　生　毛
父：
母：
母父：
販売者：",196,欠場,,,,,,,,,
"No.197
セルフィーバイブスの2021
牡　5/4生　鹿毛
父：ダイワメジャー
母：セルフィーバイブス
母父：キングカメハメハ
販売者：(有)千代田牧場",197,セルフィーバイブスの2021,牡,5/4,鹿,ダイワメジャー,セルフィーバイブス,キングカメハメハ,(有)千代田牧場,チヨダボクジョウ,(有)千代田牧場
"No.198
ディエルベの2021
めす　4/30生　黒鹿毛
父：サトノクラウン
母：ディエルベ
母父：ローエングリン
販売者：社台ファーム",198,ディエルベの2021,めす,4/30,黒鹿,サトノクラウン,ディエルベ,ローエングリン,社台ファーム,シャダイファーム,社台ファーム
"No.199
ロフティーエイムの2021
牡　3/18生　鹿毛
父：ブリックスアンドモルタル
母：ロフティーエイム
母父：サンデーサイレンス
販売者：追分ファーム",199,ロフティーエイムの2021,牡,3/18,鹿,ブリックスアンドモルタル,ロフティーエイム,サンデーサイレンス,追分ファーム,オイワケファーム,追分ファーム　リリーバレー
"No.200
アイズオンリーの2021
めす　3/5生　鹿毛
父：レイデオロ
母：アイズオンリー
母父：ネオユニヴァース
販売者：(有)ノーザンレーシング",200,アイズオンリーの2021,めす,3/5,鹿,レイデオロ,アイズオンリー,ネオユニヴァース,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.201
ルーヴインペリアルの2021
牡　4/28生　栗毛
父：スワーヴリチャード
母：ルーヴインペリアル
母父：Giant's Causeway
販売者：社台ファーム",201,ルーヴインペリアルの2021,牡,4/28,栗,スワーヴリチャード,ルーヴインペリアル,Giant's Causeway,社台ファーム,シャダイファーム,社台ファーム
"No.202
ビバリーヒルズの2021
牡　3/3生　鹿毛
父：キンシャサノキセキ
母：ビバリーヒルズ
母父：スニッツェル
販売者：(有)ノーザンレーシング",202,ビバリーヒルズの2021,牡,3/3,鹿,キンシャサノキセキ,ビバリーヒルズ,スニッツェル,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.203
ゴールドマリキヤの2021
めす　4/27生　鹿毛
父：サンダースノー
母：ゴールドマリキヤ
母父：ゴールドアリュール
販売者：ワールド．ファーム",203,ゴールドマリキヤの2021,めす,4/27,鹿,サンダースノー,ゴールドマリキヤ,ゴールドアリュール,ワールド．ファーム,ワールドファーム,(有)チェスナットファーム
"No.204
アドマイヤキュートの2021
めす　2/13生　青鹿毛
父：ドレフォン
母：アドマイヤキュート
母父：キングカメハメハ
販売者：(有)ノーザンレーシング",204,アドマイヤキュートの2021,めす,2/13,青鹿,ドレフォン,アドマイヤキュート,キングカメハメハ,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.205
エアティアーモの2021
牡　3/4生　鹿毛
父：ディスクリートキャット
母：エアティアーモ
母父：ロージズインメイ
販売者：社台ファーム（共有代表）",205,エアティアーモの2021,牡,3/4,鹿,ディスクリートキャット,エアティアーモ,ロージズインメイ,社台ファーム（共有代表）,シャダイファームキョウユウダイヒョウ,社台ファーム
"No.206
シェリールの2021
牡　2/19生　黒鹿毛
父：ルーラーシップ
母：シェリール
母父：サンデーサイレンス
販売者：ノーザンファーム",206,シェリールの2021,牡,2/19,黒鹿,ルーラーシップ,シェリール,サンデーサイレンス,ノーザンファーム,ノーザンファーム,ノーザンファームYearling
"No.207
ラヴザットマスタングの2021
めす　5/7生　黒鹿毛
父：ブリックスアンドモルタル
母：ラヴザットマスタング
母父：Candy Ride
販売者：(有)アラキファーム",207,ラヴザットマスタングの2021,めす,5/7,黒鹿,ブリックスアンドモルタル,ラヴザットマスタング,Candy Ride,(有)アラキファーム,アラキファーム,(有)チェスナットファーム
"No.208
スピナッチの2021
牡　5/14生　黒鹿毛
父：ホッコータルマエ
母：スピナッチ
母父：ゼンノロブロイ
販売者：社台ファーム",208,スピナッチの2021,牡,5/14,黒鹿,ホッコータルマエ,スピナッチ,ゼンノロブロイ,社台ファーム,シャダイファーム,社台ファーム
"No.209
ラファダリの2021
めす　3/28生　鹿毛
父：ミッキーアイル
母：ラファダリ
母父：Singspiel
販売者：ノーザンファーム",209,ラファダリの2021,めす,3/28,鹿,ミッキーアイル,ラファダリ,Singspiel,ノーザンファーム,ノーザンファーム,ノーザンファームYearling
"No.210
サオヒメの2021
めす　4/14生　黒鹿毛
父：ニューイヤーズデイ
母：サオヒメ
母父：サンデーサイレンス
販売者：(株)レイクヴィラファーム",210,サオヒメの2021,めす,4/14,黒鹿,ニューイヤーズデイ,サオヒメ,サンデーサイレンス,(株)レイクヴィラファーム,レイクヴィラファーム,ノーザンファームYearling
"No.211
ソングライティングの2021
牡　5/2生　栗毛
父：シュヴァルグラン
母：ソングライティング
母父：Giant's Causeway
販売者：ノーザンファーム",211,ソングライティングの2021,牡,5/2,栗,シュヴァルグラン,ソングライティング,Giant's Causeway,ノーザンファーム,ノーザンファーム,ノーザンファームYearling
"No.212
レッドラミアの2021
めす　4/15生　栗毛
父：マインドユアビスケッツ
母：レッドラミア
母父：ディープインパクト
販売者：社台ファーム",212,レッドラミアの2021,めす,4/15,栗,マインドユアビスケッツ,レッドラミア,ディープインパクト,社台ファーム,シャダイファーム,社台ファーム
"No.213
アドマイヤマリンの2021
めす　4/8生　黒鹿毛
父：ニューイヤーズデイ
母：アドマイヤマリン
母父：クロフネ
販売者：(有)ノーザンレーシング",213,アドマイヤマリンの2021,めす,4/8,黒鹿,ニューイヤーズデイ,アドマイヤマリン,クロフネ,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.214
ディオベルタの2021
牡　5/21生　鹿毛
父：ルーラーシップ
母：ディオベルタ
母父：フジキセキ
販売者：社台ファーム",214,ディオベルタの2021,牡,5/21,鹿,ルーラーシップ,ディオベルタ,フジキセキ,社台ファーム,シャダイファーム,社台ファーム
"No.215
カロンセギュールの2021
牡　4/6生　黒鹿毛
父：スワーヴリチャード
母：カロンセギュール
母父：Forest Camp
販売者：ノーザンファーム",215,カロンセギュールの2021,牡,4/6,黒鹿,スワーヴリチャード,カロンセギュール,Forest Camp,ノーザンファーム,ノーザンファーム,ノーザンファームYearling
"No.216
ブリスアンドラックの2021
めす　4/21生　黒鹿毛
父：ロゴタイプ
母：ブリスアンドラック
母父：ディープインパクト
販売者：社台ファーム",216,ブリスアンドラックの2021,めす,4/21,黒鹿,ロゴタイプ,ブリスアンドラック,ディープインパクト,社台ファーム,シャダイファーム,社台ファーム
"No.217
アイスドールの2021
めす　3/13生　黒鹿毛
父：サトノクラウン
母：アイスドール
母父：キャプテンスティーヴ
販売者：ノーザンファーム",217,アイスドールの2021,めす,3/13,黒鹿,サトノクラウン,アイスドール,キャプテンスティーヴ,ノーザンファーム,ノーザンファーム,ノーザンファームYearling
"No.218
エリモフェザーの2021
牡　4/9生　鹿毛
父：ヴィクトワールピサ
母：エリモフェザー
母父：シニスターミニスター
販売者：岡田スタッド",218,エリモフェザーの2021,牡,4/9,鹿,ヴィクトワールピサ,エリモフェザー,シニスターミニスター,岡田スタッド,オカダスタッド,岡田スタッド
"No.219
ゴールウェイの2021
めす　3/6生　鹿毛
父：キンシャサノキセキ
母：ゴールウェイ
母父：フサイチコンコルド
販売者：(株)レイクヴィラファーム",219,ゴールウェイの2021,めす,3/6,鹿,キンシャサノキセキ,ゴールウェイ,フサイチコンコルド,(株)レイクヴィラファーム,レイクヴィラファーム,ノーザンファームYearling
"No.220
チャイマックスの2021
牡　2/11生　鹿毛
父：ミッキーアイル
母：チャイマックス
母父：Congrats
販売者：ノーザンファーム",220,チャイマックスの2021,牡,2/11,鹿,ミッキーアイル,チャイマックス,Congrats,ノーザンファーム,ノーザンファーム,ノーザンファームYearling
"No.221
コスモパルムドールの2021
牡　3/3生　鹿毛
父：サトノクラウン
母：コスモパルムドール
母父：Yonaguska
販売者：(有)グランデファーム",221,コスモパルムドールの2021,牡,3/3,鹿,サトノクラウン,コスモパルムドール,Yonaguska,(有)グランデファーム,グランデファーム,(有)グランデファーム
"No.222
オーシャンビーナスの2021
めす　1/27生　鹿毛
父：リオンディーズ
母：オーシャンビーナス
母父：リンカーン
販売者：(有)ノーザンレーシング",222,オーシャンビーナスの2021,めす,1/27,鹿,リオンディーズ,オーシャンビーナス,リンカーン,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.223
ミルフィアタッチの2021
牡　5/13生　鹿毛
父：アジアエクスプレス
母：ミルフィアタッチ
母父：キングカメハメハ
販売者：(有)千代田牧場",223,ミルフィアタッチの2021,牡,5/13,鹿,アジアエクスプレス,ミルフィアタッチ,キングカメハメハ,(有)千代田牧場,チヨダボクジョウ,(有)千代田牧場
"No.224
クルソラの2021
牡　4/22生　黒鹿毛
父：リアルインパクト
母：クルソラ
母父：Candy Stripes
販売者：ノーザンファーム",224,クルソラの2021,牡,4/22,黒鹿,リアルインパクト,クルソラ,Candy Stripes,ノーザンファーム,ノーザンファーム,ノーザンファームYearling
"No.225
ユメノキラメキの2021
めす　3/31生　鹿毛
父：イスラボニータ
母：ユメノキラメキ
母父：ロージズインメイ
販売者：社台ファーム",225,ユメノキラメキの2021,めす,3/31,鹿,イスラボニータ,ユメノキラメキ,ロージズインメイ,社台ファーム,シャダイファーム,社台ファーム
"No.226
シュウギンの2021
牡　5/18生　栗毛
父：ブリックスアンドモルタル
母：シュウギン
母父：スウェプトオーヴァーボード
販売者：(株)チャンピオンズファーム",226,シュウギンの2021,牡,5/18,栗,ブリックスアンドモルタル,シュウギン,スウェプトオーヴァーボード,(株)チャンピオンズファーム,チャンピオンズファーム,(株)チャンピオンズファーム
"No.227
ボシンシェの2021
めす　4/8生　鹿毛
父：オルフェーヴル
母：ボシンシェ
母父：Kingmambo
販売者：ノーザンファーム",227,ボシンシェの2021,めす,4/8,鹿,オルフェーヴル,ボシンシェ,Kingmambo,ノーザンファーム,ノーザンファーム,ノーザンファームYearling
"No.228
ステラプラドの2021
牡　4/9生　栗毛
父：ニューイヤーズデイ
母：ステラプラド
母父：ハーツクライ
販売者：社台ファーム",228,ステラプラドの2021,牡,4/9,栗,ニューイヤーズデイ,ステラプラド,ハーツクライ,社台ファーム,シャダイファーム,社台ファーム
"No.229
ムーンライトダンスの2021
牡　4/8生　鹿毛
父：サトノアラジン
母：ムーンライトダンス
母父：Sinndar
販売者：ノーザンファーム",229,ムーンライトダンスの2021,牡,4/8,鹿,サトノアラジン,ムーンライトダンス,Sinndar,ノーザンファーム,ノーザンファーム,ノーザンファームYearling
"No.230
マザーロシアの2021
牡　3/15生　鹿毛
父：サトノダイヤモンド
母：マザーロシア
母父：Mayakovsky
販売者：(株)レイクヴィラファーム",230,マザーロシアの2021,牡,3/15,鹿,サトノダイヤモンド,マザーロシア,Mayakovsky,(株)レイクヴィラファーム,レイクヴィラファーム,ノーザンファームYearling
"No.231
シシリアンブリーズの2021
めす　4/3生　鹿毛
父：ベストウォーリア
母：シシリアンブリーズ
母父：ゼンノロブロイ
販売者：ノーザンファーム",231,シシリアンブリーズの2021,めす,4/3,鹿,ベストウォーリア,シシリアンブリーズ,ゼンノロブロイ,ノーザンファーム,ノーザンファーム,ノーザンファームYearling
"No.232
グレースアンバーの2021
めす　2/19生　鹿毛
父：リアルインパクト
母：グレースアンバー
母父：ストロングリターン
販売者：社台ファーム",232,グレースアンバーの2021,めす,2/19,鹿,リアルインパクト,グレースアンバー,ストロングリターン,社台ファーム,シャダイファーム,社台ファーム
"No.233
ダイワオンディーヌの2021
牡　2/13生　栗毛
父：ワールドエース
母：ダイワオンディーヌ
母父：クロフネ
販売者：ノーザンファーム",233,ダイワオンディーヌの2021,牡,2/13,栗,ワールドエース,ダイワオンディーヌ,クロフネ,ノーザンファーム,ノーザンファーム,ノーザンファームYearling
"No.234
ピュリティゴールドの2021
めす　2/3生　黒鹿毛
父：ルーラーシップ
母：ピュリティゴールド
母父：ゴールドアリュール
販売者：追分ファーム",234,ピュリティゴールドの2021,めす,2/3,黒鹿,ルーラーシップ,ピュリティゴールド,ゴールドアリュール,追分ファーム,オイワケファーム,追分ファーム　リリーバレー
"No.235
ウエスタンベッラの2021
牡　4/21生　鹿毛
父：アメリカンペイトリオット
母：ウエスタンベッラ
母父：ハーツクライ
販売者：(株)ウエスタンファーム",235,ウエスタンベッラの2021,牡,4/21,鹿,アメリカンペイトリオット,ウエスタンベッラ,ハーツクライ,(株)ウエスタンファーム,ウエスタンファーム,(株)ウエスタンファーム
"No.236
ウォークロニクルの2021
めす　3/11生　青鹿毛
父：リアルインパクト
母：ウォークロニクル
母父：ウォーエンブレム
販売者：(有)ノーザンレーシング",236,ウォークロニクルの2021,めす,3/11,青鹿,リアルインパクト,ウォークロニクル,ウォーエンブレム,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.237
メジロルルドの2021
めす　3/24生　栗毛
父：アジアエクスプレス
母：メジロルルド
母父：サンデーサイレンス
販売者：(株)レイクヴィラファーム",237,メジロルルドの2021,めす,3/24,栗,アジアエクスプレス,メジロルルド,サンデーサイレンス,(株)レイクヴィラファーム,レイクヴィラファーム,ノーザンファームYearling
"No.238
チアズメッセージの2021
牡　5/9生　栗毛
父：ニューイヤーズデイ
母：チアズメッセージ
母父：サンデーサイレンス
販売者：ノーザンファーム",238,チアズメッセージの2021,牡,5/9,栗,ニューイヤーズデイ,チアズメッセージ,サンデーサイレンス,ノーザンファーム,ノーザンファーム,ノーザンファームYearling
"No.239
ギエムの2021
めす　4/9生　鹿毛
父：アルアイン
母：ギエム
母父：Medaglia d'Oro
販売者：(有)ノーザンレーシング",239,ギエムの2021,めす,4/9,鹿,アルアイン,ギエム,Medaglia d'Oro,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.240
欠場
　生　毛
父：
母：
母父：
販売者：",240,欠場,,,,,,,,,
"No.241
ハルマッタンの2021
牡　2/19生　鹿毛
父：ロゴタイプ
母：ハルマッタン
母父：マンハッタンカフェ
販売者：社台ファーム",241,ハルマッタンの2021,牡,2/19,鹿,ロゴタイプ,ハルマッタン,マンハッタンカフェ,社台ファーム,シャダイファーム,(有)社台コーポレーション白老ファームYearling
"No.242
ワナダンスの2021
めす　1/28生　鹿毛
父：イスラボニータ
母：ワナダンス
母父：The Leopard
販売者：(有)ノーザンレーシング",242,ワナダンスの2021,めす,1/28,鹿,イスラボニータ,ワナダンス,The Leopard,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.243
リッスンの2021
牡　3/25生　鹿毛
父：ドゥラメンテ
母：リッスン
母父：Sadler's Wells
販売者：ノーザンファーム",243,リッスンの2021,牡,3/25,鹿,ドゥラメンテ,リッスン,Sadler's Wells,ノーザンファーム,ノーザンファーム,ノーザンファームYearling
"No.301
チェリーコレクトの2022
牡　2/23生　鹿毛
父：レイデオロ
母：チェリーコレクト
母父：Oratorio
販売者：(有)ノーザンレーシング",301,チェリーコレクトの2022,牡,2/23,鹿,レイデオロ,チェリーコレクト,Oratorio,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.302
レディイヴァンカの2022
めす　3/6生　鹿毛
父：キズナ
母：レディイヴァンカ
母父：Tiz Wonderful
販売者：(有)ノーザンレーシング",302,レディイヴァンカの2022,めす,3/6,鹿,キズナ,レディイヴァンカ,Tiz Wonderful,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.303
エルディアマンテの2022
牡　2/7生　鹿毛
父：ナダル
母：エルディアマンテ
母父：キングカメハメハ
販売者：ノーザンファーム",303,エルディアマンテの2022,牡,2/7,鹿,ナダル,エルディアマンテ,キングカメハメハ,ノーザンファーム,ノーザンファーム,ノーザンファーム
"No.304
リュラの2022
めす　2/21生　鹿毛
父：ドレフォン
母：リュラ
母父：ステイゴールド
販売者：ノーザンファーム",304,リュラの2022,めす,2/21,鹿,ドレフォン,リュラ,ステイゴールド,ノーザンファーム,ノーザンファーム,ノーザンファーム
"No.305
ベルスリーブの2022
牡　1/27生　鹿毛
父：アドマイヤマーズ
母：ベルスリーブ
母父：シンボリクリスエス
販売者：ノーザンファーム",305,ベルスリーブの2022,牡,1/27,鹿,アドマイヤマーズ,ベルスリーブ,シンボリクリスエス,ノーザンファーム,ノーザンファーム,ノーザンファーム
"No.306
コッパの2022
牡　3/4生　鹿毛
父：イスラボニータ
母：コッパ
母父：Yesbyjimminy
販売者：社台ファーム",306,コッパの2022,牡,3/4,鹿,イスラボニータ,コッパ,Yesbyjimminy,社台ファーム,シャダイファーム,社台ファーム
"No.307
フィールザレースの2022
めす　1/10生　黒鹿毛
父：リアルスティール
母：フィールザレース
母父：Orpen
販売者：(有)ノーザンレーシング",307,フィールザレースの2022,めす,1/10,黒鹿,リアルスティール,フィールザレース,Orpen,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.308
エトワールドパリの2022
牡　2/14生　芦毛
父：ハービンジャー
母：エトワールドパリ
母父：クロフネ
販売者：社台ファーム",308,エトワールドパリの2022,牡,2/14,芦,ハービンジャー,エトワールドパリ,クロフネ,社台ファーム,シャダイファーム,社台ファーム
"No.309
ピュリティゴールドの2022
めす　2/1生　栗毛
父：ルヴァンスレーヴ
母：ピュリティゴールド
母父：ゴールドアリュール
販売者：追分ファーム",309,ピュリティゴールドの2022,めす,2/1,栗,ルヴァンスレーヴ,ピュリティゴールド,ゴールドアリュール,追分ファーム,オイワケファーム,追分ファーム
"No.310
コールバックの2022
牡　3/15生　黒鹿毛
父：ドゥラメンテ
母：コールバック
母父：ストリートセンス
販売者：(有)ノーザンレーシング",310,コールバックの2022,牡,3/15,黒鹿,ドゥラメンテ,コールバック,ストリートセンス,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.311
アムールポエジーの2022
めす　2/20生　栗毛
父：ニューイヤーズデイ
母：アムールポエジー
母父：ネオユニヴァース
販売者：社台ファーム",311,アムールポエジーの2022,めす,2/20,栗,ニューイヤーズデイ,アムールポエジー,ネオユニヴァース,社台ファーム,シャダイファーム,社台ファーム
"No.312
マーチャンテイマーの2022
牡　3/6生　青鹿毛
父：リオンディーズ
母：マーチャンテイマー
母父：クロフネ
販売者：(有)千代田牧場",312,マーチャンテイマーの2022,牡,3/6,青鹿,リオンディーズ,マーチャンテイマー,クロフネ,(有)千代田牧場,チヨダボクジョウ,(有)千代田牧場
"No.313
シャンボールフィズの2022
めす　2/3生　鹿毛
父：シスキン
母：シャンボールフィズ
母父：キングカメハメハ
販売者：ノーザンファーム",313,シャンボールフィズの2022,めす,2/3,鹿,シスキン,シャンボールフィズ,キングカメハメハ,ノーザンファーム,ノーザンファーム,ノーザンファーム
"No.314
リトルブックの2022
牡　4/18生　鹿毛
父：エピファネイア
母：リトルブック
母父：Librettist
販売者：(有)飛野牧場",314,リトルブックの2022,牡,4/18,鹿,エピファネイア,リトルブック,Librettist,(有)飛野牧場,トビノボクジョウ,(有)飛野牧場
"No.315
オレンドンの2022
牡　2/4生　栗毛
父：モーリス
母：オレンドン
母父：Le Havre
販売者：社台ファーム",315,オレンドンの2022,牡,2/4,栗,モーリス,オレンドン,Le Havre,社台ファーム,シャダイファーム,社台ファーム
"No.316
カゼルタの2022
牡　2/11生　栗毛
父：サートゥルナーリア
母：カゼルタ
母父：ハービンジャー
販売者：(有)ノーザンレーシング",316,カゼルタの2022,牡,2/11,栗,サートゥルナーリア,カゼルタ,ハービンジャー,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.317
アンブルサイドの2022
めす　3/8生　鹿毛
父：オルフェーヴル
母：アンブルサイド
母父：ウォーエンブレム
販売者：社台ファーム",317,アンブルサイドの2022,めす,3/8,鹿,オルフェーヴル,アンブルサイド,ウォーエンブレム,社台ファーム,シャダイファーム,社台ファーム
"No.318
チークトゥチークの2022
牡　4/12生　芦毛
父：リアルスティール
母：チークトゥチーク
母父：クロフネ
販売者：(有)グランド牧場",318,チークトゥチークの2022,牡,4/12,芦,リアルスティール,チークトゥチーク,クロフネ,(有)グランド牧場,グランドボクジョウ,(有)グランド牧場
"No.319
ケルシャンスの2022
めす　2/25生　鹿毛
父：キタサンブラック
母：ケルシャンス
母父：Dubawi
販売者：ノーザンファーム",319,ケルシャンスの2022,めす,2/25,鹿,キタサンブラック,ケルシャンス,Dubawi,ノーザンファーム,ノーザンファーム,ノーザンファーム
"No.320
アルズギャルの2022
牡　3/12生　栗毛
父：カリフォルニアクローム
母：アルズギャル
母父：English Channel
販売者：(株)コスモビューティー",320,アルズギャルの2022,牡,3/12,栗,カリフォルニアクローム,アルズギャル,English Channel,(株)コスモビューティー,コスモビューティー,(有)岡田牧場
"No.321
サプルマインドの2022
めす　2/19生　鹿毛
父：ブリックスアンドモルタル
母：サプルマインド
母父：ディープインパクト
販売者：社台ファーム",321,サプルマインドの2022,めす,2/19,鹿,ブリックスアンドモルタル,サプルマインド,ディープインパクト,社台ファーム,シャダイファーム,社台ファーム
"No.322
ベルダムの2022
牡　2/8生　鹿毛
父：エピファネイア
母：ベルダム
母父：ディープインパクト
販売者：(有)ノーザンレーシング",322,ベルダムの2022,牡,2/8,鹿,エピファネイア,ベルダム,ディープインパクト,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.323
ザッハーマインの2022
めす　3/18生　栗毛
父：マインドユアビスケッツ
母：ザッハーマイン
母父：Mineshaft
販売者：社台ファーム",323,ザッハーマインの2022,めす,3/18,栗,マインドユアビスケッツ,ザッハーマイン,Mineshaft,社台ファーム,シャダイファーム,社台ファーム
"No.324
アントハッティーの2022
牡　2/20生　鹿毛
父：American Pharoah
母：アントハッティー
母父：Camelot
販売者：(有)高昭牧場",324,アントハッティーの2022,牡,2/20,鹿,American Pharoah,アントハッティー,Camelot,(有)高昭牧場,コウショウボクジョウ,(有)高昭牧場
"No.325
アウェイクの2022
牡　2/21生　黒鹿毛
父：ブリックスアンドモルタル
母：アウェイク
母父：ディープインパクト
販売者：(有)ノーザンレーシング",325,アウェイクの2022,牡,2/21,黒鹿,ブリックスアンドモルタル,アウェイク,ディープインパクト,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.326
欠場
　生　毛
父：
母：
母父：
販売者：",326,欠場,,,,,,,,,
"No.327
エルーセラの2022
牡　3/29生　芦毛
父：レッドファルクス
母：エルーセラ
母父：Spirit One
販売者：社台ファーム",327,エルーセラの2022,牡,3/29,芦,レッドファルクス,エルーセラ,Spirit One,社台ファーム,シャダイファーム,社台ファーム
"No.328
オーサムフェザーの2022
めす　2/19生　鹿毛
父：モーリス
母：オーサムフェザー
母父：Awesome of Course
販売者：(有)ノーザンレーシング",328,オーサムフェザーの2022,めす,2/19,鹿,モーリス,オーサムフェザー,Awesome of Course,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.329
ラチェーヴェの2022
牡　2/2生　黒鹿毛
父：No Nay Never
母：ラチェーヴェ
母父：Danehill Dancer
販売者：岡田スタッド",329,ラチェーヴェの2022,牡,2/2,黒鹿,No Nay Never,ラチェーヴェ,Danehill Dancer,岡田スタッド,オカダスタッド,岡田スタッド
"No.330
ポジティブマインドの2022
牡　2/13生　栗毛
父：ドゥラメンテ
母：ポジティブマインド
母父：Equal Stripes
販売者：ノーザンファーム",330,ポジティブマインドの2022,牡,2/13,栗,ドゥラメンテ,ポジティブマインド,Equal Stripes,ノーザンファーム,ノーザンファーム,ノーザンファーム
"No.331
ジュエルオブナイルの2022
牡　2/8生　鹿毛
父：ナダル
母：ジュエルオブナイル
母父：デュランダル
販売者：社台ファーム",331,ジュエルオブナイルの2022,牡,2/8,鹿,ナダル,ジュエルオブナイル,デュランダル,社台ファーム,シャダイファーム,社台ファーム
"No.332
マニーズオンシャーロットの2022
めす　3/3生　鹿毛
父：ロードカナロア
母：マニーズオンシャーロット
母父：Mizzen Mast
販売者：吉田 俊介",332,マニーズオンシャーロットの2022,めす,3/3,鹿,ロードカナロア,マニーズオンシャーロット,Mizzen Mast,吉田 俊介,ヨシダシュンスケ,ノーザンファーム
