コメント,No,上場馬名,性,生月日,毛色,父,母,母の父,販売者,販売者カナ,飼養者
"No.115
ビーコンターンの2021
牡　4/29生　栗毛
父：エピファネイア
母：ビーコンターン
母父：Shamardal
販売者：岡田スタッド",115,ビーコンターンの2021,牡,4/29,栗,エピファネイア,ビーコンターン,Shamardal,岡田スタッド,オカダスタッド,岡田スタッド
"No.116
イマーキュレイトキャットの2021
牡　4/27生　栗毛
父：ヴィクトワールピサ
母：イマーキュレイトキャット
母父：Storm Cat
販売者：社台ファーム",116,イマーキュレイトキャットの2021,牡,4/27,栗,ヴィクトワールピサ,イマーキュレイトキャット,Storm Cat,社台ファーム,シャダイファーム,(有)社台コーポレーション白老ファームYearling
"No.117
エルディアマンテの2021
牡　2/13生　黒鹿毛
父：ブリックスアンドモルタル
母：エルディアマンテ
母父：キングカメハメハ
販売者：ノーザンファーム",117,エルディアマンテの2021,牡,2/13,黒鹿,ブリックスアンドモルタル,エルディアマンテ,キングカメハメハ,ノーザンファーム,ノーザンファーム,ノーザンファームYearling
"No.118
チカアレグレの2021
めす　4/25生　栗毛
父：ドレフォン
母：チカアレグレ
母父：ハーツクライ
販売者：社台ファーム",118,チカアレグレの2021,めす,4/25,栗,ドレフォン,チカアレグレ,ハーツクライ,社台ファーム,シャダイファーム,社台ファーム
"No.119
マニクールの2021
牡　2/5生　鹿毛
父：キズナ
母：マニクール
母父：ヘニーヒューズ
販売者：(有)千代田牧場",119,マニクールの2021,牡,2/5,鹿,キズナ,マニクール,ヘニーヒューズ,(有)千代田牧場,チヨダボクジョウ,(有)千代田牧場
"No.120
テルアケリーの2021
めす　5/4生　鹿毛
父：シルバーステート
母：テルアケリー
母父：Tapit
販売者：ノーザンファーム",120,テルアケリーの2021,めす,5/4,鹿,シルバーステート,テルアケリー,Tapit,ノーザンファーム,ノーザンファーム,ノーザンファームYearling
"No.121
エアマスカットの2021
牡　4/28生　栗毛
父：デクラレーションオブウォー
母：エアマスカット
母父：ジャングルポケット
販売者：社台ファーム（共有代表）",121,エアマスカットの2021,牡,4/28,栗,デクラレーションオブウォー,エアマスカット,ジャングルポケット,社台ファーム（共有代表）,シャダイファームキョウユウダイヒョウ,社台ファーム
"No.122
ジョプリンの2021
めす　1/15生　黒鹿毛
父：ロードカナロア
母：ジョプリン
母父：Soldier Hollow
販売者：(株)レイクヴィラファーム",122,ジョプリンの2021,めす,1/15,黒鹿,ロードカナロア,ジョプリン,Soldier Hollow,(株)レイクヴィラファーム,レイクヴィラファーム,ノーザンファームYearling
"No.123
ホットチャチャの2021
牡　4/29生　黒鹿毛
父：モーリス
母：ホットチャチャ
母父：Cactus Ridge
販売者：ノーザンファーム",123,ホットチャチャの2021,牡,4/29,黒鹿,モーリス,ホットチャチャ,Cactus Ridge,ノーザンファーム,ノーザンファーム,ノーザンファームYearling
"No.124
デロングスターの2021
めす　2/20生　青鹿毛
父：キタサンブラック
母：デロングスター
母父：ヴィクトワールピサ
販売者：社台ファーム",124,デロングスターの2021,めす,2/20,青鹿,キタサンブラック,デロングスター,ヴィクトワールピサ,社台ファーム,シャダイファーム,社台ファーム
