コメント,上場日,上場No.,馬名,性,毛色,生月日,父,母,母の父,申込者名,飼養者名,当日の上場順
"No.78
レゼトワール２０２１
牡　4月21日生　鹿毛
父：エピファネイア
母：レゼトワール
母父：ファスリエフ
㈲新冠橋本牧場",7/26（火）,78,レゼトワール２０２１,牡,鹿,4月21日,エピファネイア,レゼトワール,ファスリエフ,㈲新冠橋本牧場,㈲新冠橋本牧場,78
"No.79
コーディリア２０２１
♀　3月2日生　黒鹿毛
父：ハービンジャー
母：コーディリア
母父：シンボリクリスエス
追分ファーム",7/26（火）,79,コーディリア２０２１,♀,黒鹿,3月2日,ハービンジャー,コーディリア,シンボリクリスエス,追分ファーム,白老ファームＹｅａｒｌｉｎｇ,79
"No.80
エーシンメンフィス２０２１
牡　4月24日生　栗毛
父：コパノリッキー
母：エーシンメンフィス
母父：Medaglia d'Oro
栄進牧場",7/26（火）,80,エーシンメンフィス２０２１,牡,栗,4月24日,コパノリッキー,エーシンメンフィス,Medaglia d'Oro,栄進牧場,㈱門別牧場,80
"No.81
シーイズチャンプ２０２１
牡　2月10日生　鹿毛
父：モーリス
母：シーイズチャンプ
母父：ダノンシャンティ
㈱チャンピオンズファーム",7/26（火）,81,シーイズチャンプ２０２１,牡,鹿,2月10日,モーリス,シーイズチャンプ,ダノンシャンティ,㈱チャンピオンズファーム,㈱チャンピオンズファーム,81
"No.82
トウシンハンター２０２１
牡　4月18日生　黒鹿毛
父：キズナ
母：トウシンハンター
母父：エンパイアメーカー
㈲千代田牧場",7/26（火）,82,トウシンハンター２０２１,牡,黒鹿,4月18日,キズナ,トウシンハンター,エンパイアメーカー,㈲千代田牧場,㈲千代田牧場,82
"No.83
スリーアロー２０２１
牡　4月6日生　青鹿毛
父：デクラレーションオブウォー
母：スリーアロー
母父：アルデバラン２
㈲フジワラファーム",7/26（火）,83,スリーアロー２０２１,牡,青鹿,4月6日,デクラレーションオブウォー,スリーアロー,アルデバラン２,㈲フジワラファーム,㈲フジワラファーム,83
"No.84
グッドスカイ２０２１
牡　4月30日生　黒鹿毛
父：シルバーステート
母：グッドスカイ
母父：ステイゴールド
㈲小泉牧場",7/26（火）,84,グッドスカイ２０２１,牡,黒鹿,4月30日,シルバーステート,グッドスカイ,ステイゴールド,㈲小泉牧場,㈱山﨑ＳＴＡＢＬＥ,84
"No.85
ドナパフューム２０２１
♀　2月2日生　鹿毛
父：サンダースノー
母：ドナパフューム
母父：Bertolini
㈱千里ファーム",7/26（火）,85,ドナパフューム２０２１,♀,鹿,2月2日,サンダースノー,ドナパフューム,Bertolini,㈱千里ファーム,エバグリーンセールスコンサインメント,85
"No.86
ジェネロシティー２０２１
牡　5月6日生　黒鹿毛
父：エピファネイア
母：ジェネロシティー
母父：フジキセキ
㈲高昭牧場",7/26（火）,86,ジェネロシティー２０２１,牡,黒鹿,5月6日,エピファネイア,ジェネロシティー,フジキセキ,㈲高昭牧場,㈲荻伏共同育成場,86
"No.87
ノーティスボード２０２１
牡　1月30日生　芦毛
父：リオンディーズ
母：ノーティスボード
母父：クロフネ
㈲下河辺牧場",7/26（火）,87,ノーティスボード２０２１,牡,芦,1月30日,リオンディーズ,ノーティスボード,クロフネ,㈲下河辺牧場,㈲下河辺牧場,87
